,date,sentimentScore
1604,2018-05-24,-0.5760758260942773
1605,2018-05-25,-0.5897217266249731
1606,2018-05-26,-0.7833303006613794
1607,2018-05-27,-0.8397786677448227
1608,2018-05-28,-0.6135589265874757
1609,2018-05-29,-0.5830208544902389
1610,2018-05-30,-0.5479165439819532
1611,2018-05-31,-0.5306442312277445
1612,2018-06-01,-0.5561522287643362
1613,2018-06-02,-0.667212925317245
1614,2018-06-03,-0.6997510669187323
1615,2018-06-04,-0.5888260837435104
1616,2018-06-05,-0.5210276069845359
1617,2018-06-06,-0.6023571921821238
1618,2018-06-07,-0.5383166704223379
1619,2018-06-08,-0.6186046815942219
1620,2018-06-09,-1.0044825887780109
1621,2018-06-10,-1.1259120578725659
1622,2018-06-11,-0.6124198887499188
1623,2018-06-12,-0.555602995194843
1624,2018-06-13,-0.5343017624756787
1625,2018-06-14,-0.559041558633656
1626,2018-06-15,-0.5827362892817318
1627,2018-06-16,-0.8261433508492168
1628,2018-06-17,-0.8296332419574292
1629,2018-06-18,-0.8194901549830965
1630,2018-06-19,-0.702342125543253
1631,2018-06-20,-0.660757847831709
1632,2018-06-21,-0.6865290161625363
1633,2018-06-22,-0.6362111511434276
1634,2018-06-23,-0.7689659324549837
1635,2018-06-24,-0.8460301846896069
1636,2018-06-25,-0.5842597858099523
1637,2018-06-26,-0.6470722057804543
1638,2018-06-27,-0.6403656537948719
1639,2018-06-28,-0.7223240590961812
1640,2018-06-29,-0.7075171683278636
1641,2018-06-30,-0.9933937151381826
1642,2018-07-01,-0.9841502911911
1643,2018-07-02,-0.8900852743899559
1644,2018-07-03,-0.6989214859529673
1645,2018-07-04,-0.7160065943458745
1646,2018-07-05,-0.7237423634184315
1647,2018-07-06,-0.76409835784564
1648,2018-07-07,-0.8922537719967515
1649,2018-07-08,-0.7827336490870471
1650,2018-07-09,-0.6677223067210479
1651,2018-07-10,-0.4501630252445103
1652,2018-07-11,-0.5182864534220546
1653,2018-07-12,-0.6434275127228002
1654,2018-07-13,-0.604736829428834
1655,2018-07-14,-0.8881168442989831
1656,2018-07-15,-0.9916255304166524
1657,2018-07-16,-0.4930894626672339
1658,2018-07-17,-0.23377714090316556
1659,2018-07-18,0.002602793425582981
1660,2018-07-19,-0.28295313782576254
1661,2018-07-20,-0.37122006240875954
1662,2018-07-21,-0.664374899749382
1663,2018-07-22,-0.610495023655297
1664,2018-07-23,-0.4279651510171904
1665,2018-07-24,-0.2404009932228012
1666,2018-07-25,-0.1527318175082151
1667,2018-07-26,-0.32834202191450207
1668,2018-07-27,-0.1758947917614768
1669,2018-07-28,-0.44027969075908896
1670,2018-07-29,-0.4878109755433779
1671,2018-07-30,-0.3232816772264502
1672,2018-07-31,-0.181541210952636
1673,2018-08-01,-0.2295439943047782
1674,2018-08-02,-0.42174380650942644
1675,2018-08-03,-0.3475102009112731
1676,2018-08-04,-0.5553515498393679
1677,2018-08-05,-0.6715068548786519
1678,2018-08-06,-0.450240803501679
1679,2018-08-07,-0.36776266567274074
1680,2018-08-08,-0.47575617658009145
1681,2018-08-09,-0.5702936779917954
1682,2018-08-10,-0.8267339192530403
1683,2018-08-11,-0.9656141597013385
1684,2018-08-12,-1.1059466113133627
1685,2018-08-13,-0.5840039104391072
1686,2018-08-14,-0.3603690450218662
1687,2018-08-15,-0.5105578445329073
1688,2018-08-16,-0.44883874071650603
1689,2018-08-17,-0.6217220226691702
1690,2018-08-18,-0.7585604815193282
1691,2018-08-19,-0.8246130469570003
1692,2018-08-20,-0.5202355685286364
1693,2018-08-21,-0.5898072383505524
1694,2018-08-22,-0.5653945788728781
1695,2018-08-23,-0.6178204395609178
1696,2018-08-24,-0.6209134474365412
1697,2018-08-25,-0.8242171913691908
1698,2018-08-26,-0.884560891992321
1699,2018-08-27,-0.653230152348411
1700,2018-08-28,-0.5503265203604332
1701,2018-08-29,-0.5785830852681895
1702,2018-08-30,-0.5905736388672246
1703,2018-08-31,-0.5569927103902482
1704,2018-09-01,-0.6469487712435312
1705,2018-09-02,-0.7331558016814
1706,2018-09-03,-0.5664142976520282
1707,2018-09-04,-0.51011192161871
1708,2018-09-05,-0.5357176877285696
1709,2018-09-06,-0.4841311208402819
1710,2018-09-07,-0.5908145008417278
